k,sexo,chave,l,m,s
1001042,1,1042,-0.3521,16.5959,0.08447
1001043,1,1043,-0.3521,16.6268,0.08453
1001044,1,1044,-0.3521,16.6579,0.08458
1001045,1,1045,-0.3521,16.6889,0.08464
1001046,1,1046,-0.3521,16.7201,0.0847
1001047,1,1047,-0.3521,16.7513,0.08475
1001048,1,1048,-0.3521,16.7826,0.08481
1001049,1,1049,-0.3521,16.8139,0.08487
1001050,1,1050,-0.3521,16.8454,0.08493
1001051,1,1051,-0.3521,16.8769,0.08498
1001052,1,1052,-0.3521,16.9084,0.08504
1001053,1,1053,-0.3521,16.9401,0.0851
1001054,1,1054,-0.3521,16.9718,0.08516
1001055,1,1055,-0.3521,17.0036,0.08521
1001056,1,1056,-0.3521,17.0355,0.08527
1001057,1,1057,-0.3521,17.0674,0.08533
1001058,1,1058,-0.3521,17.0995,0.08539
1001059,1,1059,-0.3521,17.1316,0.08545
1001060,1,1060,-0.3521,17.1637,0.08551
1001061,1,1061,-0.3521,17.196,0.08557
1001062,1,1062,-0.3521,17.2283,0.08562
1001063,1,1063,-0.3521,17.2607,0.08568
1001064,1,1064,-0.3521,17.2931,0.08574
1001065,1,1065,-0.3521,17.3256,0.0858
1001066,1,1066,-0.3521,17.3582,0.08586
1001067,1,1067,-0.3521,17.3909,0.08592
1001068,1,1068,-0.3521,17.4237,0.08599
1001069,1,1069,-0.3521,17.4565,0.08605
1001070,1,1070,-0.3521,17.4894,0.08611
1001071,1,1071,-0.3521,17.5224,0.08617
1001072,1,1072,-0.3521,17.5554,0.08623
1001073,1,1073,-0.3521,17.5885,0.08629
1001074,1,1074,-0.3521,17.6217,0.08635
1001075,1,1075,-0.3521,17.655,0.08641
1001076,1,1076,-0.3521,17.6884,0.08648
1001077,1,1077,-0.3521,17.7218,0.08654
1001078,1,1078,-0.3521,17.7553,0.0866
1001079,1,1079,-0.3521,17.7889,0.08666
1001080,1,1080,-0.3521,17.8226,0.08673
1001081,1,1081,-0.3521,17.8564,0.08679
1001082,1,1082,-0.3521,17.8903,0.08685
1001083,1,1083,-0.3521,17.9242,0.08691
1001084,1,1084,-0.3521,17.9583,0.08698
1001085,1,1085,-0.3521,17.9924,0.08704
1001086,1,1086,-0.3521,18.0267,0.0871
1001087,1,1087,-0.3521,18.061,0.08717
1001088,1,1088,-0.3521,18.0954,0.08723
1001089,1,1089,-0.3521,18.1299,0.0873
1001090,1,1090,-0.3521,18.1645,0.08736
1001091,1,1091,-0.3521,18.1992,0.08742
1001092,1,1092,-0.3521,18.234,0.08749
1001093,1,1093,-0.3521,18.2689,0.08755
1001094,1,1094,-0.3521,18.3039,0.08762
1001095,1,1095,-0.3521,18.339,0.08768
1001096,1,1096,-0.3521,18.3742,0.08774
1001097,1,1097,-0.3521,18.4094,0.08781
1001098,1,1098,-0.3521,18.4448,0.08787
1001099,1,1099,-0.3521,18.4802,0.08794
1001100,1,1100,-0.3521,18.5158,0.088
1001101,1,1101,-0.3521,18.5514,0.08806
1001102,1,1102,-0.3521,18.5871,0.08813
1001103,1,1103,-0.3521,18.6229,0.08819
1001104,1,1104,-0.3521,18.6588,0.08826
1001105,1,1105,-0.3521,18.6948,0.08832
1001106,1,1106,-0.3521,18.7308,0.08838
1001107,1,1107,-0.3521,18.767,0.08845
1001108,1,1108,-0.3521,18.8032,0.08851
1001109,1,1109,-0.3521,18.8395,0.08858
1001110,1,1110,-0.3521,18.8759,0.08864
1001111,1,1111,-0.3521,18.9123,0.08871
1001112,1,1112,-0.3521,18.9489,0.08877
1001113,1,1113,-0.3521,18.9855,0.08883
1001114,1,1114,-0.3521,19.0222,0.0889
1001115,1,1115,-0.3521,19.059,0.08896
1001116,1,1116,-0.3521,19.0958,0.08903
1001117,1,1117,-0.3521,19.1327,0.08909
1001118,1,1118,-0.3521,19.1697,0.08915
1001119,1,1119,-0.3521,19.2067,0.08922
1001120,1,1120,-0.3521,19.2439,0.08928
1001121,1,1121,-0.3521,19.281,0.08934
1001122,1,1122,-0.3521,19.3183,0.08941
1001123,1,1123,-0.3521,19.3556,0.08947
1001124,1,1124,-0.3521,19.393,0.08953
1001125,1,1125,-0.3521,19.4304,0.0896
1001126,1,1126,-0.3521,19.4679,0.08966
1001127,1,1127,-0.3521,19.5055,0.08972
1001128,1,1128,-0.3521,19.5431,0.08979
1001129,1,1129,-0.3521,19.5807,0.08985
1001130,1,1130,-0.3521,19.6185,0.08991
1001131,1,1131,-0.3521,19.6563,0.08997
1001132,1,1132,-0.3521,19.6941,0.09004
1001133,1,1133,-0.3521,19.7321,0.0901
1001134,1,1134,-0.3521,19.77,0.09016
1001135,1,1135,-0.3521,19.8081,0.09022
1001136,1,1136,-0.3521,19.8461,0.09029
1001137,1,1137,-0.3521,19.8843,0.09035
1001138,1,1138,-0.3521,19.9225,0.09041
1001139,1,1139,-0.3521,19.9607,0.09047
1001140,1,1140,-0.3521,19.999,0.09054
1001141,1,1141,-0.3521,20.0373,0.0906
1001142,1,1142,-0.3521,20.0757,0.09066
1001143,1,1143,-0.3521,20.1142,0.09072
1001144,1,1144,-0.3521,20.1527,0.09079
1001145,1,1145,-0.3521,20.1912,0.09085
1001146,1,1146,-0.3521,20.2298,0.09091
1001147,1,1147,-0.3521,20.2684,0.09097
1001148,1,1148,-0.3521,20.3071,0.09103
1001149,1,1149,-0.3521,20.3458,0.0911
1001150,1,1150,-0.3521,20.3846,0.09116
1001151,1,1151,-0.3521,20.4233,0.09122
1001152,1,1152,-0.3521,20.4622,0.09128
1001153,1,1153,-0.3521,20.501,0.09134
1001154,1,1154,-0.3521,20.54,0.0914
1001155,1,1155,-0.3521,20.5789,0.09147
1001156,1,1156,-0.3521,20.6179,0.09153
1001157,1,1157,-0.3521,20.6569,0.09159
1001158,1,1158,-0.3521,20.6959,0.09165
1001159,1,1159,-0.3521,20.735,0.09171
1001160,1,1160,-0.3521,20.7741,0.09177
1001161,1,1161,-0.3521,20.8132,0.09183
1001162,1,1162,-0.3521,20.8524,0.0919
1001163,1,1163,-0.3521,20.8916,0.09196
1001164,1,1164,-0.3521,20.9308,0.09202
1001165,1,1165,-0.3521,20.97,0.09208
1001166,1,1166,-0.3521,21.0093,0.09214
1001167,1,1167,-0.3521,21.0486,0.0922
1001168,1,1168,-0.3521,21.0879,0.09227
1001169,1,1169,-0.3521,21.1272,0.09233
1001170,1,1170,-0.3521,21.1666,0.09239
1001171,1,1171,-0.3521,21.2059,0.09245
1001172,1,1172,-0.3521,21.2453,0.09251
1001173,1,1173,-0.3521,21.2847,0.09257
1001174,1,1174,-0.3521,21.3242,0.09263
1001175,1,1175,-0.3521,21.3636,0.0927
1001176,1,1176,-0.3521,21.4031,0.09276
1001177,1,1177,-0.3521,21.4426,0.09282
1001178,1,1178,-0.3521,21.482,0.09288
1001179,1,1179,-0.3521,21.5215,0.09294
1001180,1,1180,-0.3521,21.5611,0.093
1001181,1,1181,-0.3521,21.6006,0.09307
1001182,1,1182,-0.3521,21.6401,0.09313
1001183,1,1183,-0.3521,21.6797,0.09319
1001184,1,1184,-0.3521,21.7193,0.09325
